Gripper,Object,Close Gripper Force,Shake Gripper Amplitude,Force Move XYZ,Success_Count,,object_dim,,,
geltip_gripper,tuna_fish_can,200,0.1,"[0.0, 0.0, 0.149]",9,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,200,0.1,"[0.0, 0.0, 0.15]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,200,0.3,"[0.0, 0.0, 0.149]",10,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,200,0.3,"[0.0, 0.0, 0.15]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,200,0.5,"[0.0, 0.0, 0.149]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,200,0.5,"[0.0, 0.0, 0.15]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,300,0.1,"[0.0, 0.0, 0.149]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,300,0.1,"[0.0, 0.0, 0.15]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,300,0.3,"[0.0, 0.0, 0.149]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,300,0.3,"[0.0, 0.0, 0.15]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,300,0.5,"[0.0, 0.0, 0.149]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,300,0.5,"[0.0, 0.0, 0.15]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,400,0.1,"[0.0, 0.0, 0.149]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,400,0.1,"[0.0, 0.0, 0.15]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,400,0.3,"[0.0, 0.0, 0.149]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,400,0.3,"[0.0, 0.0, 0.15]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,400,0.5,"[0.0, 0.0, 0.149]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,tuna_fish_can,400,0.5,"[0.0, 0.0, 0.15]",0,,"(0.086112, 0.086112, 0.03412)",,,
geltip_gripper,potted_meat_can,50,0.1,"[0.0, 0.0, 0.149]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,50,0.1,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,50,0.3,"[0.0, 0.0, 0.149]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,50,0.3,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,50,0.5,"[0.0, 0.0, 0.149]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,50,0.5,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,60,0.1,"[0.0, 0.0, 0.149]",10,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,60,0.1,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
