Gripper,Object,Close Gripper Force,Shake Gripper Amplitude,Force Move XYZ,Success_Count,,object_dim,,,
tactip_gripper,can,60,0.1,"[0.0, 0.0, 0.135]",10,,"(0.103022, 0.103022, 0.14114)",,,"(0.103022, 0.103022, 0.14114)"
tactip_gripper,can,60,0.1,"[0.0, 0.0, 0.14]",10,,"(0.103022, 0.103022, 0.14114)",,,"(0.103022, 0.103022, 0.14114)"
tactip_gripper,can,60,0.3,"[0.0, 0.0, 0.135]",10,,"(0.103022, 0.103022, 0.14114)",,,"(0.103022, 0.103022, 0.14114)"
tactip_gripper,can,60,0.3,"[0.0, 0.0, 0.14]",0,,"(0.103022, 0.103022, 0.14114)",,,"(0.103022, 0.103022, 0.14114)"
tactip_gripper,can,60,0.5,"[0.0, 0.0, 0.135]",0,,"(0.103022, 0.103022, 0.14114)",,,"(0.103022, 0.103022, 0.14114)"
tactip_gripper,can,60,0.5,"[0.0, 0.0, 0.14]",0,,"(0.103022, 0.103022, 0.14114)",,,"(0.103022, 0.103022, 0.14114)"
tactip_gripper,tuna_fish_can,200,0.1,"[-0.005, 0.0, 0.13]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,200,0.1,"[-0.005, 0.0, 0.135]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,200,0.3,"[-0.005, 0.0, 0.13]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,200,0.3,"[-0.005, 0.0, 0.135]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,200,0.5,"[-0.005, 0.0, 0.13]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,200,0.5,"[-0.005, 0.0, 0.135]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,300,0.1,"[-0.005, 0.0, 0.13]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,300,0.1,"[-0.005, 0.0, 0.135]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,300,0.3,"[-0.005, 0.0, 0.13]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,300,0.3,"[-0.005, 0.0, 0.135]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,300,0.5,"[-0.005, 0.0, 0.13]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,300,0.5,"[-0.005, 0.0, 0.135]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,400,0.1,"[-0.005, 0.0, 0.13]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,400,0.1,"[-0.005, 0.0, 0.135]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,400,0.3,"[-0.005, 0.0, 0.13]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,400,0.3,"[-0.005, 0.0, 0.135]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,400,0.5,"[-0.005, 0.0, 0.13]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,tuna_fish_can,400,0.5,"[-0.005, 0.0, 0.135]",0,,"(0.086112, 0.086112, 0.03412)",,,
tactip_gripper,potted_meat_can,30,0.1,"[0.0, 0.0, 0.128]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,30,0.1,"[0.005, 0.0, 0.13]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,30,0.3,"[0.0, 0.0, 0.128]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
